"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CREATED_BY";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"MANUFACTURER";"MF";"MP";"MPN";"PACKAGE";"POPULARITY";"PRICE";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"";"614004185023";"614004185023";"J3";"USB TYPE A VERTICAL THT - SHORT TYPE=>ConUSB2 61400185023";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"629105150521";"629105150521";"J1";"WR-COM_USB_Micro Type B_Horizontal_SMT ;";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"693063020911";"693063020911";"J2";"WR-CRD SD CARD CONNECTOR PUSH & PULL SHORT TYPE WITH CARD DETECTION 9PINS=>Code : Con_I-O_COM_CRD_SD_Normal_693063020911";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"DCBARRELPTH";"DCJACK_2MM_PTH";"X1";"2.0mm DC Barrel Jack";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MF-MSMF050-2";"1812";"F1";"PTC RESET FUSE 15V 500MA 1812";"";"PCBLayout.com";"";"MF-MSMF050-2TR-ND";"Bourns Inc.";"";"";"MF-MSMF050-2";"1812";"";"";"";"";
"6";"";"PINHD-1X1";"1X01";"JP2, JP3, JP7, JP8, JP11, JP12";"PIN HEADER";"";"";"";"";"";"";"";"";"";"64";"";"";"";
"1";"";"PINHD-1X10";"1X10";"JP16";"PIN HEADER";"";"";"";"";"";"";"";"";"";"35";"";"";"";
"9";"";"PINHD-1X2";"1X02";"JP1, JP4, JP6, JP10, JP18, JP19, JP20, JP21, JP22";"PIN HEADER";"";"";"";"";"";"";"";"";"";"98";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP5";"PIN HEADER";"";"";"";"";"";"";"";"";"";"92";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JP15";"PIN HEADER";"";"";"";"";"";"";"";"";"";"79";"";"";"";
"1";"";"PINHD-1X7";"1X07";"JP14";"PIN HEADER";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"1";"";"PINHD-1X8";"1X08";"JP13";"PIN HEADER";"";"";"";"";"";"";"";"";"";"67";"";"";"";
"1";"";"PINHD-1X9";"1X09";"JP17";"PIN HEADER";"";"";"";"";"";"";"";"";"";"13";"";"";"";
"1";"";"PSU_STEP_DOWN";"1X05";"JP9";"PIN HEADER";"";"";"";"";"";"";"";"";"";"69";"";"";"";
"18";"";"SJ";"SJ";"SJ1, SJ2, SJ3, SJ9, SJ10, SJ11, SJ12, SJ17, SJ20, SJ23, SJ25, SJ26, SJ27, SJ29, SJ32, SJ34, SJ35, SJ36";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"33";"";"";"";
"18";"";"SJ2W";"SJ_2";"SJ4, SJ5, SJ6, SJ7, SJ8, SJ13, SJ14, SJ15, SJ16, SJ18, SJ19, SJ21, SJ22, SJ24, SJ28, SJ30, SJ31, SJ33";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"7";"";"";"";
"1";"0R01";"R-EU_R0805";"R0805";"R21";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"16";"100n";"C-EUC0805";"C0805";"C9, C13, C16, C21, C25, C26, C28, C33, C36, C39, C40, C41, C42, C44, C45, C48";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"C";"";
"1";"100n";"C-EUC1206";"C1206";"C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"54";"";"C";"";
"10";"10K";"R-EU_R0805";"R0805";"R1, R2, R17, R19, R20, R29, R30, R31, R34, R35";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"1";"10R";"R-EU_R0805";"R0805";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"2";"10p";"C-EUC0805";"C0805";"C12, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"C";"";
"18";"10u";"C-EUC1206";"C1206";"C2, C5, C6, C10, C11, C14, C17, C19, C22, C23, C30, C32, C34, C37, C38, C43, C46, C47";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"54";"";"C";"";
"5";"10u";"CPOL-EUSMCB";"SMC_B";"C3, C4, C7, C8, C35";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"25";"";"C";"";
"4";"1K";"R-EU_R0805";"R0805";"R4, R10, R13, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"2";"1Meg";"R-EU_R0805";"R0805";"R24, R25";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"3";"1u";"C-EUC0805";"C0805";"C24, C29, C31";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"88";"";"C";"";
"4";"24R";"R-EU_R0805";"R0805";"R26, R28, R32, R33";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"2";"270R";"R-EU_R0805";"R0805";"R9, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"3";"2K";"R-EU_R0805";"R0805";"R22, R23, R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"2";"2K2";"R-EU_R0805";"R0805";"R12, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"2";"470u";"CPOL-EUG";"PANASONIC_G";"C1, C20";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"2";"";"C";"";
"1";"47u";"C-EUC1210";"C1210";"C27";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"C";"";
"2";"6K8";"R-EU_R0805";"R0805";"R11, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"1";"ADS8681IPWR";"ADS8681IPWR";"SOP65P640X120-16N";"U8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADUM3160";"ADUM3160";"SO16W";"U11";"Analog Devices ADuM3160 (pin compatible with ADuM4160) USB port isolator";"Unavailable";"";" ADI 2.5kVFull/Low Speed USB Digital Isolator  ";"";"";"Analog Devices";"ADUM3160";"";"SOIC-16 Analog Devices";"";"None";"";"";
"1";"AMS1117-2.5";"AMS1117-5.0";"SOT229P700X180-4N";"U1";"Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator";"Unavailable";"";" Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator ";"";"";"Advanced Monolithic Systems";"AMS1117-5.0";"";"None";"";"None";"";"";
"1";"AMS1117-5.0";"AMS1117-5.0";"SOT229P700X180-4N";"U2";"Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator";"Unavailable";"";" Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator ";"";"";"Advanced Monolithic Systems";"AMS1117-5.0";"";"None";"";"None";"";"";
"5";"DMG3401LSN-7";"DMG3401LSN-7";"SOT23";"Q1, Q2, Q4, Q5, Q6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"ESR";"R-EU_R0805";"R0805";"R6, R7, R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"86";"";"R";"";
"1";"LMV321M7";"LMV321M7";"SC70-5L";"IC1";"General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"1";"LTC2368IMS-16PBF";"LTC2368IMS-16PBF";"MSOP-16_MS";"U7";"";"Unavailable";"";" Data acquisition IC - AD converter _ADC_ Linear Technology LTC2368IMS-16#PBF External MSOP 16 ";"";"";"Linear Technology";"LTC2368IMS-16#PBF";"";"MSOP-16 Linear Technology";"";"None";"";"";
"3";"MAX4239AUT+T";"MAX4239AUT+T";"SOT23-6";"U5, U6, U10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PHPT60603NYX";"PHPT60603NYX";"TO127P600X120-5N";"Q3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"R01";"CSM_R01";"R2512";"R5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"REF5050IDR";"REF5050IDR";"SOIC127P600X175-8N";"U4";"Low-Noise, Very Low Drift, Precision VOLTAGE REFERENCE";"Unavailable";"";" Low Noise, Very Low Drift, Precision VOLTAGE REFERENCE 8-SOIC -40 to 125 ";"";"";"Texas Instruments";"REF5050IDR";"";"SOIC-8 Texas Instruments";"";"None";"";"";
"3";"S3M";"S1M";"DO214AC";"D1, D2, D3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SMTU2032-1";"SMTU2032-1";"RENATA_SMTU2032-1";"BT1";"Battery Renata Battery Holder";"Unavailable";"";" Battery Renata Battery Holder ";"";"";"Renata";"SMTU2032-1";"";"None";"";"None";"";"";
"1";"TMUX1111PWRTSSOP16";"TMUX1111PWRTSSOP16";"SOP65P640X110-16N";"U3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPL0102-100PWRTSSOP14";"TPL0102-100PWRTSSOP14";"SOP65P640X120-14N";"U9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29";"TPSB1,27";"TPSB1,27";"B1,27";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29";"TEST PIN";"";"";"";"";"";"";"";"";"";"0";"";"";"";
